index,gender_singular,remark,plural_form,translation,number,gender_short
91,das Jahr,,Jahre,Year,91,N
92,das Reich ,,Reiche,Empire / Kingdom,92,N
93,das Zeug,,Zeuge,Stuff / Things,93,N
94,das Mal,,Male,Time / Occasion,94,N
95,das Buch,,Bücher,Book,95,N
96,das Handy,,Handys,Mobile phone,96,N
97,das Telefon,,Telefone,Telephone,97,N
98,das Haar,,Haare,Hair,98,N
99,das Paar,,Paare,Pair / Couple,99,N
100,das Laub,,Laube,Foliage / Leaves,100,N
101,das Ohr,,Ohren,Ear,101,N
102,das Ding,,Dinge,Thing,102,N
103,das Wohl,,Wohle,Well-being,103,N
104,das Pech,,Pech,Bad luck,104,N
105,das Hemd,,Hemden,Shirt,105,N
106,das Kreuz,,Kreuze,Cross,106,N
107,das Protokoll,,Protokolle,Protocol,107,N
108,das Geräusch,,Geräusche,Noise,108,N
109,das Gespräch,,Gespräche,Conversation,109,N
110,das Glas,,Gläser,Glass,110,N
111,das Gepäck,,Gepäcke,Luggage,111,N
112,das Detail,,Details,Detail,112,N
113,das Glück,,Glücke,Luck,113,N
114,das Fleisch,,Fleische,Meat,114,N
115,das Indiz,,Indizien,Indication,115,N
116,das Bad,,Bäder,Bath,116,N
117,das Kleid,,Kleider,Dress,117,N
118,das Lied,,Lieder,Song,118,N
119,das Gewühl,,Gewühle,Commotion,119,N
120,das Hotel,,Hotels,Hotel,120,N
121,das Herz,,Herzen,Heart,121,N
122,das Netz,,Netze,Net,122,N
123,das Seil,,Seile,Rope,123,N
124,das Salz,,Salze,Salt,124,N
125,das Ei,,Eier,Egg,125,N
126,das Formular ,,Formulare,Form,126,N
127,das Lager ,,Lager,Camp,127,N
128,das Vokabular ,,Vokabulare,Vocabulary,128,N
129,das Sofa,,Sofas,Sofa,129,N
130,das Programm,,Programme,Program,130,N
131,das Chaos ,,Chaos,Chaos,131,N
132,das Gebirge,Word ends in E and NEUTER,Gebirge,Mountain range,132,N
133,das Café,Word ends in E and NEUTER,Cafés,Café,133,N
134,das Portmonee,Word ends in E and NEUTER,Portmonees,Wallet,134,N
135,das Puzzle,Word ends in E and NEUTER,Puzzles,Puzzle,135,N
136,das Ende,Word ends in E and NEUTER,Enden,End,136,N
137,das Böse,Word ends in E and NEUTER,Böse,Evil,137,N
138,das Auge,Word ends in E and NEUTER,Augen,Eye,138,N
139,das Äußere,Word ends in E and NEUTER,Äußere,Appearance,139,N
140,das Brot,Word ends in T and NEUTER,Brote,Bread,140,N
141,das Rezept,Word ends in T and NEUTER,Rezepte,Recipe,141,N
142,das Internet,Word ends in T and NEUTER,Internet,Internet,142,N
143,das Produkt,Word ends in T and NEUTER,Produkte,Product,143,N
144,das Licht,Word ends in T and NEUTER,Lichter,Light,144,N
145,das Obst,Word ends in T and NEUTER,Obst,Fruit,145,N
146,das Ticket,Word ends in T and NEUTER,Tickets,Ticket,146,N
147,das Nest,Word ends in T and NEUTER,Nester,Nest,147,N
148,das Kraut,Word ends in T and NEUTER,Kräuter,Herb,148,N
149,das Bett,Word ends in T and NEUTER,Betten,Bed,149,N
150,das Gift,Word ends in T and NEUTER,Gifte,Poison,150,N
151,das Wort,Word ends in T and NEUTER,Wörter,Word,151,N
152,das Gewicht,Word ends in T and NEUTER,Gewichte,Weight,152,N
153,das Gebot,Word ends in T and NEUTER,Gebote,Command,153,N
154,das Gehalt,Word ends in T and NEUTER,Gehälter,Salary,154,N
155,das Gedicht,Word ends in T and NEUTER,Gedichte,Poem,155,N
156,das Delikt,Word ends in T and NEUTER,Delikte,Offense,156,N
157,das Gebiet,Word ends in T and NEUTER,Gebiete,Area / Territory,157,N
158,das Jahrhundert,Word ends in T and NEUTER,Jahrhunderte,Century,158,N
159,das Gerücht,Word ends in T and NEUTER,Gerüchte,Rumor,159,N
160,das Gespenst,Word ends in T and NEUTER,Gespenster,Ghost,160,N
161,das Geschlecht,Word ends in T and NEUTER,Geschlechter,Gender,161,N
162,das Gebet,Word ends in T and NEUTER,Gebete,Prayer,162,N
163,das Blut,Word ends in T and NEUTER,Blute,Blood,163,N
164,das Gesicht,Word ends in T and NEUTER,Gesichter,Face,164,N
165,das Gericht,Word ends in T and NEUTER,Gerichte,Court,165,N
166,das Heft,Word ends in T and NEUTER,Hefte,Exercise book,166,N
167,das Zelt,Word ends in T and NEUTER,Zelte,Tent,167,N
168,das Geschäft,Word ends in T and NEUTER,Geschäfte,Shop / Store,168,N
169,das Blatt,Word ends in T and NEUTER,Blätter,Leaf,169,N
170,das Monster,Word ends in ER and NEUTER,Monster,Monster,170,N
171,das Fieber,Word ends in ER and NEUTER,Fieber,Fever,171,N
172,das Theater,Word ends in ER and NEUTER,Theater,Theater,172,N
173,das Wasser,Word ends in ER and NEUTER,Wasser,Water,173,N
174,das Meer,Word ends in ER and NEUTER,Meere,Sea,174,N
175,das Leder,Word ends in ER and NEUTER,Leder,Leather,175,N
176,das Opfer ,Word ends in ER and NEUTER,Opfer,Sacrifice,176,N
177,das Wunder,Word ends in ER and NEUTER,Wunder,Miracle,177,N
178,das Wetter,Word ends in ER and NEUTER,Wetter,Weather,178,N
179,das Feuer,Word ends in ER and NEUTER,Feuer,Fire,179,N
180,das Zimmer,Word ends in ER and NEUTER,Zimmer,Room,180,N
181,das Papier,Word ends in ER and NEUTER,Papiere,Paper,181,N
182,das Muster,Word ends in ER and NEUTER,Muster,Pattern,182,N
183,das Fenster,Word ends in ER and NEUTER,Fenster,Window,183,N
184,das Gewitter,Word ends in ER and NEUTER,Gewitter,Thunderstorm,184,N
185,das Ufer,Word ends in ER and NEUTER,Ufer,Shore / Bank,185,N
186,das Steuer,Word ends in ER and NEUTER,Steuer,Steering / Tax,186,N
187,das Messer,Word ends in ER and NEUTER,Messer,Knife,187,N
188,das Abenteuer ,Word ends in ER and NEUTER,Abenteuer,Adventure,188,N
189,das Becken,Word ends in EN and NEUTER,Becken,Basin,189,N
190,das Eisen,Word ends in EN and NEUTER,Eisen,Iron,190,N
191,das Zeichen,Word ends in EN and NEUTER,Zeichen,Sign,191,N
192,das Unternehmen,Word ends in EN and NEUTER,Unternehmen,Enterprise / Company,192,N
193,das Gutachten,Word ends in EN and NEUTER,Gutachten,Expert opinion,193,N
194,die Tür,,,,194,F
195,die Milch ,,,,195,F
196,die Kenntnis,,,,196,F
197,die Schachtel,,,,197,F
198,die Gefahr,,,,198,F
199,die Nummer,word in er and feminine,,,199,F
200,die Steuer,word in er and feminine,,,200,F
201,die Mauer,word in er and feminine,,,201,F
202,die Wimper,word in er and feminine,,,202,F
203,die Neugier,word in er and feminine,,,203,F
204,die Habgier,word in er and feminine,,,204,F
205,die Hand,,,,205,F
206,die Schuld,,,,206,F
207,die Form,,,,207,F
208,die Notiz,,,,208,F
209,die Geisel,,,,209,F
210,die Wand,,,,210,F
211,die Gabel,,,,211,F
212,die Kugel,,,,212,F
213,die Wahl,,,,213,F
214,die Regel,,,,214,F
215,die Firma,,,,215,F
216,die Stirn,,,,216,F
217,die Uhr,,,,217,F
218,"die Zahl,",,,,218,F
219,die Notwehr,,,,219,F
220,die Pirsch,,,,220,F
221,die Geduld,,,,221,F
222,die Rückkehr,,,,222,F
